exp_1,exp_2,W_tilt_re,W_tilt_im
1,0,0.00753538861459507,0.0
0,1,0.00753538861459507,0.0
2,0,-4.884883258832483e-10,0.0
1,1,-1.0106245592145738e-9,0.0
0,2,-4.884883258832483e-10,0.0
3,0,-3.1942854937699423e-8,0.0
2,1,-6.352998014281866e-8,0.0
1,2,-6.352998014281866e-8,0.0
0,3,-3.1942854937699423e-8,0.0
4,0,-1.648350206189236e-13,0.0
3,1,-3.58951412091226e-14,0.0
2,2,-2.0589105351315627e-14,0.0
1,3,-3.58951412091226e-14,0.0
0,4,-1.648350206189236e-13,0.0
5,0,-2.1984476025374476e-12,0.0
4,1,-1.8582405589664018e-11,0.0
3,2,4.2400428986738835e-13,0.0
2,3,4.2400428986738835e-13,0.0
1,4,-1.8582405589664018e-11,0.0
0,5,-2.1984476025374476e-12,0.0
